Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.31,0.61,0.3367340276881511
75% Corpus,8,0.31,0.9099999999999999,0.32956387533787074
75% Corpus,8,0.31,symmetric,0.3399683091772696
75% Corpus,8,0.61,0.01,0.32805479517999625
75% Corpus,8,0.61,0.31,0.3364721565746809
75% Corpus,8,0.61,0.61,0.3503387622149006
75% Corpus,8,0.61,0.9099999999999999,0.3880977301809105
75% Corpus,8,0.61,symmetric,0.32723242867151103
75% Corpus,8,0.9099999999999999,0.01,0.31041891309035097
75% Corpus,8,0.9099999999999999,0.31,0.34463205514801176
75% Corpus,8,0.9099999999999999,0.61,0.3445190467924625
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3615671034710424
75% Corpus,8,0.9099999999999999,symmetric,0.32787479791815854
75% Corpus,8,symmetric,0.01,0.32254525161256187
75% Corpus,8,symmetric,0.31,0.3281180928106535
75% Corpus,8,symmetric,0.61,0.34208476232912005
75% Corpus,8,symmetric,0.9099999999999999,0.3427129627848351
75% Corpus,8,symmetric,symmetric,0.321357767850658
75% Corpus,8,asymmetric,0.01,0.29479178815033535
75% Corpus,8,asymmetric,0.31,0.36451391061428573
75% Corpus,8,asymmetric,0.61,0.3479609850826783
75% Corpus,8,asymmetric,0.9099999999999999,0.3428178203859782
75% Corpus,8,asymmetric,symmetric,0.3726600325761764
75% Corpus,9,0.01,0.01,0.3300814831229306
75% Corpus,9,0.01,0.31,0.3377067484039575
75% Corpus,9,0.01,0.61,0.3397021994754119
75% Corpus,9,0.01,0.9099999999999999,0.3551048482012779
75% Corpus,9,0.01,symmetric,0.3237706190876691
75% Corpus,9,0.31,0.01,0.3420874203838189
75% Corpus,9,0.31,0.31,0.3456209295421267
75% Corpus,9,0.31,0.61,0.3618818992295604
75% Corpus,9,0.31,0.9099999999999999,0.3441243536077032
75% Corpus,9,0.31,symmetric,0.35100898545964904
75% Corpus,9,0.61,0.01,0.3224826542387689
75% Corpus,9,0.61,0.31,0.32770392995243536
75% Corpus,9,0.61,0.61,0.3504760584821769
75% Corpus,9,0.61,0.9099999999999999,0.3434440865004283
75% Corpus,9,0.61,symmetric,0.31900022471045697
75% Corpus,9,0.9099999999999999,0.01,0.33474785847222177
75% Corpus,9,0.9099999999999999,0.31,0.33459294767811687
75% Corpus,9,0.9099999999999999,0.61,0.3403910378468952
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.34957225020959215
75% Corpus,9,0.9099999999999999,symmetric,0.32811609364250705
75% Corpus,9,symmetric,0.01,0.33672247617211953
75% Corpus,9,symmetric,0.31,0.33473944804097233
75% Corpus,9,symmetric,0.61,0.32626908934317567
75% Corpus,9,symmetric,0.9099999999999999,0.340627779455934
75% Corpus,9,symmetric,symmetric,0.34366653547536624
75% Corpus,9,asymmetric,0.01,0.34270361232547636
75% Corpus,9,asymmetric,0.31,0.346958102163031
75% Corpus,9,asymmetric,0.61,0.34405785274392
75% Corpus,9,asymmetric,0.9099999999999999,0.3746703414556153
75% Corpus,9,asymmetric,symmetric,0.35809671776090196
75% Corpus,10,0.01,0.01,0.33626464096121544
75% Corpus,10,0.01,0.31,0.3143856502468028
75% Corpus,10,0.01,0.61,0.31471418733775663
75% Corpus,10,0.01,0.9099999999999999,0.3484532082647084
75% Corpus,10,0.01,symmetric,0.3243381357363718
75% Corpus,10,0.31,0.01,0.3510857005230775
75% Corpus,10,0.31,0.31,0.34108234914274804
75% Corpus,10,0.31,0.61,0.3173253993210334
75% Corpus,10,0.31,0.9099999999999999,0.33136459781703265
75% Corpus,10,0.31,symmetric,0.34899931668870504
75% Corpus,10,0.61,0.01,0.3458262537488775
75% Corpus,10,0.61,0.31,0.3552007176275275
75% Corpus,10,0.61,0.61,0.35991038148602855
75% Corpus,10,0.61,0.9099999999999999,0.35850585319312217
75% Corpus,10,0.61,symmetric,0.35181680023450534
75% Corpus,10,0.9099999999999999,0.01,0.3263972835193182
75% Corpus,10,0.9099999999999999,0.31,0.3405895841657578
75% Corpus,10,0.9099999999999999,0.61,0.34731333873559367
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.35623740500743384
75% Corpus,10,0.9099999999999999,symmetric,0.33273037027862756
75% Corpus,10,symmetric,0.01,0.3333943360656663
75% Corpus,10,symmetric,0.31,0.31892057656825495
75% Corpus,10,symmetric,0.61,0.3354328560313242
75% Corpus,10,symmetric,0.9099999999999999,0.3455872838656314
75% Corpus,10,symmetric,symmetric,0.3426709820814201
75% Corpus,10,asymmetric,0.01,0.336033542534868
75% Corpus,10,asymmetric,0.31,0.32412570625304443
75% Corpus,10,asymmetric,0.61,0.3327203168737684
75% Corpus,10,asymmetric,0.9099999999999999,0.34019049945484303
75% Corpus,10,asymmetric,symmetric,0.34507769819717854
100% Corpus,2,0.01,0.01,0.3703125825050162
100% Corpus,2,0.01,0.31,0.3169883756341716
100% Corpus,2,0.01,0.61,0.3433951104611672
100% Corpus,2,0.01,0.9099999999999999,0.35083643081908467
100% Corpus,2,0.01,symmetric,0.37879258702548535
100% Corpus,2,0.31,0.01,0.3584044497950848
100% Corpus,2,0.31,0.31,0.35068866806995125
100% Corpus,2,0.31,0.61,0.37206307888899093
100% Corpus,2,0.31,0.9099999999999999,0.3603004838138447
100% Corpus,2,0.31,symmetric,0.3651731156564595
100% Corpus,2,0.61,0.01,0.32917960946537145
100% Corpus,2,0.61,0.31,0.3641185172508803
100% Corpus,2,0.61,0.61,0.3668184317107942
100% Corpus,2,0.61,0.9099999999999999,0.35431959581132694
100% Corpus,2,0.61,symmetric,0.32785676155355986
100% Corpus,2,0.9099999999999999,0.01,0.3695131038476068
100% Corpus,2,0.9099999999999999,0.31,0.3711315814282006
100% Corpus,2,0.9099999999999999,0.61,0.3319252416759134
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.32273868483251417
100% Corpus,2,0.9099999999999999,symmetric,0.3572081268572567
100% Corpus,2,symmetric,0.01,0.32243138720989173
100% Corpus,2,symmetric,0.31,0.30953937095950534
100% Corpus,2,symmetric,0.61,0.3156284449460163
100% Corpus,2,symmetric,0.9099999999999999,0.3921492043482472
100% Corpus,2,symmetric,symmetric,0.38812115317184076
100% Corpus,2,asymmetric,0.01,0.38911517216084884
100% Corpus,2,asymmetric,0.31,0.37543756969290387
100% Corpus,2,asymmetric,0.61,0.3639421548453882
100% Corpus,2,asymmetric,0.9099999999999999,0.36557465561180824
100% Corpus,2,asymmetric,symmetric,0.38507362841205905
100% Corpus,3,0.01,0.01,0.321308187402802
100% Corpus,3,0.01,0.31,0.3451578023779249
100% Corpus,3,0.01,0.61,0.3071001053410148
100% Corpus,3,0.01,0.9099999999999999,0.3124226857044882
100% Corpus,3,0.01,symmetric,0.3329009386953059
100% Corpus,3,0.31,0.01,0.30028729134666304
100% Corpus,3,0.31,0.31,0.2789123291870605
100% Corpus,3,0.31,0.61,0.3154825600560982
100% Corpus,3,0.31,0.9099999999999999,0.3206338821990056
